bitset-v4	bitset.go	20	boundary	run	if wordIndex >= len(b.words) {
bitset-v4	bitset.go	29	boundary	run	if wordIndex < len(b.words) {
bitset-v4	bitset.go	37	boundary	run	if wordIndex >= len(b.words) {
expreval-v4	eval.go	16	boundary	run	for p.pos < len(p.input) && unicode.IsSpace(rune(p.input[p.pos])) {
expreval-v4	eval.go	23	boundary	run	for p.pos < len(p.input) && unicode.IsDigit(rune(p.input[p.pos])) {
expreval-v4	eval.go	35	boundary	run	if p.pos >= len(p.input) {
expreval-v4	eval.go	45	boundary	run	if p.pos >= len(p.input) {
expreval-v4	eval.go	55	boundary	run	if p.pos >= len(p.input) || p.input[p.pos] != ')' {
expreval-v4	eval.go	71	boundary	run	if p.pos >= len(p.input) {
expreval-v4	eval.go	105	boundary	run	if p.pos >= len(p.input) {
expreval-v4	eval.go	136	boundary	run	if p.pos < len(p.input) {
jsonapi-v4	main.go	23	status	run	http.Error(w, "method not allowed", http.StatusMethodNotAllowed)
jsonapi-v4	main.go	28	status	run	http.Error(w, "invalid json", http.StatusBadRequest)
jsonapi-v4	main.go	32	status	run	http.Error(w, "message required", http.StatusBadRequest)
jsonapi-v4	main.go	35	header	run	w.Header().Set("Content-Type", "application/json")
jsonapi-v4	main.go	36	status	run	w.WriteHeader(http.StatusOK)
kvservice-v4	main.go	13	status	run	http.Error(w, "not found", http.StatusNotFound)
kvservice-v4	main.go	16	header	run	w.Header().Set("Content-Type", "text/plain")
kvservice-v4	main.go	22	status	COLD	http.Error(w, "bad body", http.StatusBadRequest)
kvservice-v4	main.go	26	status	run	w.WriteHeader(http.StatusCreated)
ledger-v4	internal/api/accounts.go	29	status	run	writeJSON(w, http.StatusCreated, a)
ledger-v4	internal/api/accounts.go	34	status	run	writeJSON(w, http.StatusOK, accounts)
ledger-v4	internal/api/accounts.go	44	status	run	writeJSON(w, http.StatusOK, acc)
ledger-v4	internal/api/accounts.go	54	status	run	writeJSON(w, http.StatusOK, map[string]string{"balance": balance.Strin
ledger-v4	internal/api/middleware.go	16	boundary	run	for i := len(mws) - 1; i >= 0; i-- {
ledger-v4	internal/api/middleware.go	28	status	run	http.Error(w, "internal server error", http.StatusInternalServerError)
ledger-v4	internal/api/middleware.go	39	status	run	rec := &statusRecorder{ResponseWriter: w, status: http.StatusOK}
ledger-v4	internal/api/response.go	12	header	run	w.Header().Set("Content-Type", "application/json")
ledger-v4	internal/api/response.go	21	status	run	status = http.StatusNotFound
ledger-v4	internal/api/response.go	23	status	COLD	status = http.StatusConflict
ledger-v4	internal/api/response.go	25	status	run	status = http.StatusBadRequest
ledger-v4	internal/api/response.go	27	status	run	status = http.StatusUnprocessableEntity
ledger-v4	internal/api/response.go	29	status	COLD	status = http.StatusUnprocessableEntity
ledger-v4	internal/api/response.go	31	status	COLD	status = http.StatusInternalServerError
ledger-v4	internal/api/transactions.go	29	status	run	writeJSON(w, http.StatusCreated, t)
ledger-v4	internal/api/transactions.go	34	status	run	writeJSON(w, http.StatusOK, transactions)
ledger-v4	internal/models/models.go	28	wrap	COLD	return fmt.Errorf("%w: id is required", ErrInvalid)
ledger-v4	internal/models/models.go	31	wrap	run	return fmt.Errorf("%w: name is required", ErrInvalid)
ledger-v4	internal/models/models.go	50	wrap	run	return fmt.Errorf("%w: id is required", ErrInvalid)
ledger-v4	internal/models/models.go	53	wrap	run	return fmt.Errorf("%w: must have at least two postings", ErrInvalid)
ledger-v4	internal/models/models.go	60	wrap	run	return fmt.Errorf("%w: postings must sum to zero", ErrUnbalanced)
ledger-v4	internal/money/money.go	13	boundary	run	neg := m < 0
ledger-v4	internal/money/money.go	40	boundary	run	if dot < 0 {
logstats-v4	parse.go	24	wrap	run	return Entry{}, fmt.Errorf("expected 5 fields: %w", ErrBadLine)
logstats-v4	parse.go	29	wrap	run	return Entry{}, fmt.Errorf("invalid timestamp: %w", ErrBadLine)
logstats-v4	parse.go	37	wrap	run	return Entry{}, fmt.Errorf("invalid status code: %w", ErrBadLine)
logstats-v4	parse.go	42	wrap	run	return Entry{}, fmt.Errorf("invalid latency: %w", ErrBadLine)
numkit-v4	numkit.go	32	boundary	run	if x < 0 {
ratelimit-v4	api.go	8	status	run	writeJSON(w, http.StatusOK, map[string]string{"message": "pong"})
ratelimit-v4	api.go	15	status	run	w.WriteHeader(http.StatusOK)
ratelimit-v4	middleware.go	20	status	run	writeJSON(w, http.StatusTooManyRequests, map[string]string{"error": "r
ratelimit-v4	middleware.go	21	header	run	w.Header().Set("Retry-After", "1")
ratelimit-v4	middleware.go	27	header	run	w.Header().Set("Content-Type", "application/json")
shortener-v4	codec.go	17	boundary	run	for n > 0 {
shortener-v4	handlers.go	24	status	run	writeJSON(w, http.StatusBadRequest, nil)
shortener-v4	handlers.go	28	status	run	writeJSON(w, http.StatusBadRequest, nil)
shortener-v4	handlers.go	33	status	COLD	writeJSON(w, http.StatusBadRequest, nil)
shortener-v4	handlers.go	37	status	run	writeJSON(w, http.StatusCreated, link)
shortener-v4	handlers.go	45	status	run	http.Error(w, "", http.StatusNotFound)
shortener-v4	handlers.go	47	status	COLD	http.Error(w, "", http.StatusInternalServerError)
shortener-v4	handlers.go	52	status	run	w.WriteHeader(http.StatusMovedPermanently)
shortener-v4	handlers.go	60	status	COLD	http.Error(w, "", http.StatusNotFound)
shortener-v4	handlers.go	62	status	COLD	http.Error(w, "", http.StatusInternalServerError)
shortener-v4	handlers.go	66	status	run	writeJSON(w, http.StatusOK, link)
shortener-v4	handlers.go	70	header	run	w.Header().Set("Content-Type", "application/json")
shortener-v4	router.go	13	status	run	w.WriteHeader(http.StatusOK)
taskapi-v4	internal/api/middleware.go	14	boundary	run	for i := len(mws) - 1; i >= 0; i-- {
taskapi-v4	internal/api/middleware.go	25	status	run	rec := &statusRecorder{ResponseWriter: w, status: http.StatusOK}
taskapi-v4	internal/api/middleware.go	39	status	run	http.Error(w, "internal server error", http.StatusInternalServerError)
taskapi-v4	internal/api/projects.go	25	status	run	writeError(w, http.StatusBadRequest, "malformed request body")
taskapi-v4	internal/api/projects.go	29	status	run	writeError(w, http.StatusBadRequest, "invalid project")
taskapi-v4	internal/api/projects.go	34	status	run	writeError(w, http.StatusConflict, "project already exists")
taskapi-v4	internal/api/projects.go	36	status	COLD	writeError(w, http.StatusInternalServerError, "failed to create projec
taskapi-v4	internal/api/projects.go	40	status	run	writeJSON(w, http.StatusCreated, p)
taskapi-v4	internal/api/projects.go	49	status	run	writeError(w, http.StatusNotFound, "project not found")
