jsonapi-v5	main.go	StatusMethodNotAllowed->StatusBadRequest	CAUGHT
jsonapi-v5	main.go	StatusBadRequest->StatusNotFound	CAUGHT
jsonapi-v5	main.go	StatusBadRequest->StatusNotFound	CAUGHT
jsonapi-v5	main.go	StatusOK->StatusAccepted	CAUGHT
kvservice-v5	main.go	StatusNotFound->StatusBadRequest	CAUGHT
kvservice-v5	main.go	StatusBadRequest->StatusNotFound	SURVIVED
kvservice-v5	main.go	StatusCreated->StatusOK	CAUGHT
ledger-v5	internal/api/accounts.go	StatusCreated->StatusOK	BASELINE-RED
ledger-v5	internal/api/accounts.go	StatusOK->StatusAccepted	BASELINE-RED
ledger-v5	internal/api/accounts.go	StatusOK->StatusAccepted	BASELINE-RED
ledger-v5	internal/api/accounts.go	StatusOK->StatusAccepted	BASELINE-RED
ledger-v5	internal/api/middleware.go	StatusInternalServerError->StatusBadGateway	BASELINE-RED
ledger-v5	internal/api/middleware.go	StatusOK->StatusAccepted	BASELINE-RED
ledger-v5	internal/api/response.go	StatusNotFound->StatusBadRequest	BASELINE-RED
ledger-v5	internal/api/response.go	StatusConflict->StatusBadRequest	BASELINE-RED
ledger-v5	internal/api/response.go	StatusBadRequest->StatusNotFound	BASELINE-RED
ledger-v5	internal/api/response.go	StatusUnprocessableEntity->StatusBadRequest	BASELINE-RED
ledger-v5	internal/api/response.go	StatusInternalServerError->StatusBadGateway	BASELINE-RED
ledger-v5	internal/api/transactions.go	StatusCreated->StatusOK	BASELINE-RED
ledger-v5	internal/api/transactions.go	StatusOK->StatusAccepted	BASELINE-RED
ratelimit-v5	api.go	StatusOK->StatusAccepted	CAUGHT
ratelimit-v5	api.go	StatusOK->StatusAccepted	CAUGHT
ratelimit-v5	middleware.go	StatusTooManyRequests->StatusServiceUnavailable	CAUGHT
shortener-v5	handlers.go	StatusBadRequest->StatusNotFound	CAUGHT
shortener-v5	handlers.go	StatusBadRequest->StatusNotFound	CAUGHT
shortener-v5	handlers.go	StatusBadRequest->StatusNotFound	CAUGHT
